Date	Time	matchup	record	team1	team2	B's	league
19 Mar 2017 - Spring Season	9:55:00 PM	Counter Logic Gaming - FlyQuest eSports	2:00:00 AM	1.64	2.16	12	NALCS
19 Mar 2017 - Spring Season	8:10:00 PM	Phoenix1 - Immortals	2:00:00 AM	1.39	2.85	12	NALCS
19 Mar 2017 - Spring Season	8:10:00 PM	Team Solomid - Echo Fox	2:00:00 AM	1.15	5.16	12	NALCS
18 Mar 2017 - Spring Season	11:25:00 PM	Team Liquid - Phoenix1	12:02:00 AM	3.53	1.27	12	NALCS
18 Mar 2017 - Spring Season	10:55:00 PM	Team Solomid - FlyQuest eSports	2:01:00 AM	1.21	4.17	12	NALCS
18 Mar 2017 - Spring Season	8:10:00 PM	Cloud9 - Immortals	1:02:00 AM	1.3	3.36	12	NALCS
18 Mar 2017 - Spring Season	8:10:00 PM	Team EnVyUs - Team Dignitas	1:02:00 AM	2.83	1.39	12	NALCS
18 Mar 2017 - Spring Season	6:00:00 PM	Splyce - Origen	2:00:00 AM	1.11	5.93	6	EULCS
18 Mar 2017 - Spring Season	3:00:00 PM	Roccat - Giants Gaming	2:00:00 AM	1.67	2.11	7	EULCS
18 Mar 2017 - Spring Season	2:00:00 AM	Echo Fox - Counter Logic Gaming	12:02:00 AM	2.76	1.42	11	NALCS
17 Mar 2017 - Spring Season	11:00:00 PM	Team Dignitas - Team Liquid	2:00:00 AM	1.61	2.22	11	NALCS
17 Mar 2017 - Spring Season	7:00:00 PM	G2 Esports - Misfits	2:01:00 AM	1.34	3.11	8	EULCS
17 Mar 2017 - Spring Season	4:00:00 PM	Unicorns of Love - H2k-Gaming	2:00:00 AM	2.49	1.49	7	EULCS
16 Mar 2017 - Spring Season	7:00:00 PM	Roccat - Fnatic	2:01:00 AM	3.58	1.27	8	EULCS
16 Mar 2017 - Spring Season	4:00:00 PM	Vitality - Origen	2:00:00 AM	1.36	2.98	8	EULCS
12 Mar 2017 - Spring Season	11:00:00 PM	Echo Fox - Team Dignitas	1:02:00 AM	2.09	1.67	11	NALCS
12 Mar 2017 - Spring Season	11:00:00 PM	Immortals - Team Solomid	1:02:00 AM	3.61	1.25	12	NALCS
